source_column,label,mean_abs_shap,share_pct,target
days_past_due,days past due,0.036295,0.89,next_6m_delinquency_flag
document_status,document status,0.023922,0.58,next_6m_delinquency_flag
term_progress,how far through its term the loan is,0.016575,0.4,next_6m_delinquency_flag
data_quality_score,record data-quality score,0.007424,0.18,next_6m_delinquency_flag
servicer_update_lag_days,days between the month and its last update,0.00479,0.12,next_6m_delinquency_flag
rule_violation_count,number of validation rules broken,0.003138,0.08,next_6m_delinquency_flag
current_status,payment status,0.002915,0.07,next_6m_delinquency_flag
source_conflict,servicer feed disagrees with the panel,0.000823,0.02,next_6m_delinquency_flag
max_dpd_to_date,worst delinquency reached,0.000807,0.02,next_6m_delinquency_flag
original_term_months,original term,0.0,0.0,next_6m_delinquency_flag
original_interest_rate,rate at origination,0.0,0.0,next_6m_delinquency_flag
months_delinquent_to_date,months spent delinquent so far,0.0,0.0,next_6m_delinquency_flag
ever_delinquent,has ever been delinquent,0.0,0.0,next_6m_delinquency_flag
source_stale,reporting source updated late,0.0,0.0,next_6m_delinquency_flag
loan_age_months,months since origination,1.02602,12.91,next_12m_default_flag
servicer_name,servicer,0.930192,11.7,next_12m_default_flag
interest_rate,interest rate,0.908716,11.43,next_12m_default_flag
ltv_band,loan-to-value band,0.893496,11.24,next_12m_default_flag
remaining_term_months,months left on the term,0.826024,10.39,next_12m_default_flag
dti_band,debt-to-income band,0.58016,7.3,next_12m_default_flag
document_status,document status,0.486465,6.12,next_12m_default_flag
loan_purpose,loan purpose,0.451147,5.68,next_12m_default_flag
state,state,0.438806,5.52,next_12m_default_flag
property_type,property type,0.412901,5.2,next_12m_default_flag
credit_score_band,credit score band,0.328521,4.13,next_12m_default_flag
occupancy_type,occupancy type,0.3122,3.93,next_12m_default_flag
days_past_due,days past due,0.180965,2.28,next_12m_default_flag
current_balance,current balance,0.100785,1.27,next_12m_default_flag
original_balance,original loan amount,0.061243,0.77,next_12m_default_flag
current_status,payment status,0.009417,0.12,next_12m_default_flag
rate_incentive,rate paid above the market rate,0.500848,13.63,next_12m_prepayment_flag
original_balance,original loan amount,0.464931,12.65,next_12m_prepayment_flag
state,state,0.350904,9.55,next_12m_prepayment_flag
interest_rate,interest rate,0.319558,8.69,next_12m_prepayment_flag
amortisation_gap,distance from the contractual payment schedule,0.246861,6.72,next_12m_prepayment_flag
current_balance,current balance,0.214264,5.83,next_12m_prepayment_flag
servicer_name,servicer,0.203932,5.55,next_12m_prepayment_flag
ltv_band,loan-to-value band,0.202116,5.5,next_12m_prepayment_flag
dti_band_ordinal,debt-to-income ratio,0.185212,5.04,next_12m_prepayment_flag
property_type,property type,0.118674,3.23,next_12m_prepayment_flag
ltv_band_ordinal,loan-to-value ratio,0.116257,3.16,next_12m_prepayment_flag
rate_incentive_pctile,refinance incentive versus other loans that month,0.080547,2.19,next_12m_prepayment_flag
credit_score_band,credit score band,0.07967,2.17,next_12m_prepayment_flag
credit_score_band_ordinal,credit score,0.073478,2.0,next_12m_prepayment_flag
dti_band,debt-to-income band,0.067165,1.83,next_12m_prepayment_flag
remaining_term_months,months left on the term,0.067055,1.82,next_12m_prepayment_flag
balance_ratio,share of the original balance still outstanding,0.060014,1.63,next_12m_prepayment_flag
source_system,source system,0.054161,1.47,next_12m_prepayment_flag
occupancy_type,occupancy type,0.051607,1.4,next_12m_prepayment_flag
balance_change_3m,balance movement over the last three months,0.042299,1.15,next_12m_prepayment_flag
document_status,document status,0.042027,1.14,next_12m_prepayment_flag
loan_purpose,loan purpose,0.032312,0.88,next_12m_prepayment_flag
scheduled_balance_ratio,balance the payment schedule expects,0.02988,0.81,next_12m_prepayment_flag
data_quality_score,record data-quality score,0.024942,0.68,next_12m_prepayment_flag
rule_violation_count,number of validation rules broken,0.014859,0.4,next_12m_prepayment_flag
loan_age_months,months since origination,0.014852,0.4,next_12m_prepayment_flag
market_rate,prevailing market rate that month,0.013412,0.36,next_12m_prepayment_flag
servicer_update_lag_days,days between the month and its last update,0.001911,0.05,next_12m_prepayment_flag
term_progress,how far through its term the loan is,0.001796,0.05,next_12m_prepayment_flag
original_interest_rate,rate at origination,0.0,0.0,next_12m_prepayment_flag
days_past_due,days past due,0.0,0.0,next_12m_prepayment_flag
original_term_months,original term,0.0,0.0,next_12m_prepayment_flag
ever_delinquent,has ever been delinquent,0.0,0.0,next_12m_prepayment_flag
max_dpd_to_date,worst delinquency reached,0.0,0.0,next_12m_prepayment_flag
delinquency_streak,consecutive months currently delinquent,0.0,0.0,next_12m_prepayment_flag
n_status_changes_to_date,number of status changes so far,0.0,0.0,next_12m_prepayment_flag
months_delinquent_to_date,months spent delinquent so far,0.0,0.0,next_12m_prepayment_flag
source_stale,reporting source updated late,0.0,0.0,next_12m_prepayment_flag
source_conflict,servicer feed disagrees with the panel,0.0,0.0,next_12m_prepayment_flag
current_status,payment status,0.0,0.0,next_12m_prepayment_flag
